x,y
300,1081.8921
301,1078.1442
302,993.7116
303,1079.9606
304,1046.5425
305,1013.3634
306,1079.9602
307,1098.6114
308,1053.636
309,1034.3586
310,1026.8479
312,989.0853
313,1081.0642
314,1049.487
315,1028.4655
316,1043.5332
317,1077.2733
318,954.1396
319,1085.9817
320,1080.0685
321,1049.9891
322,1014.4529
323,1082.5567
324,1062.1905
325,1041.2766
326,1073.1246
327,1030.9662
328,1038.7409
329,1057.147
330,1080.0171
331,989.4481
332,1077.5366
333,1052.2198
334,990.1438
335,1050.1351
336,1049.7463
337,961.1831
338,1069.36
339,1086.106
340,929.0119
341,1080.7881
342,1054.3069
343,1012.0262
344,1077.9935
345,1063.2475
346,995.6283
347,1060.7479
348,1020.1541
349,899.9127
350,945.7903
351,965.8066
352,979.1287
353,1018.9421
354,991.9008
355,987.8737
356,1011.0887
357,1019.6993
358,1029.4881
359,1035.2088
360,1034.607
361,984.5718
362,1062.9792
363,1020.9746
364,1048.2155
365,1086.1949
366,1066.8763
367,1050.6567
368,989.8476
369,930.4457
370,865.738
371,871.3594
374,922.8877
375,980.4348
376,940.0926
377,959.339
378,960.4949
379,950.8681
380,913.811
382,1009.6118
383,965.8574
384,992.3576
385,1028.8614
386,1020.1634
387,1047.1515
388,1133.4804
389,1031.3537
390,1087.4877
391,1065.3018
392,1065.7084
393,1030.2107
394,1023.8303
395,1024.98
396,1013.2276
397,1061.6735
398,1045.368
399,1023.7519
400,1086.6185
401,1076.911
402,1033.3707
403,1089.0846
404,1040.7381
405,1079.8154
406,1034.2796
407,1040.9194
408,1054.6782
409,980.3939
410,989.9616
411,1019.7639
412,1034.4226
413,1015.3477
414,980.0446
415,1050.3623
416,1007.0573
417,1032.7424
418,1079.6397
419,1035.6524
420,1064.4719
421,1051.1288
422,1079.3992
423,1079.9835
424,1079.9831
425,1030.1496
426,1071.4454
427,1070.7579
428,1027.5578
429,1080.0692
430,1019.9324
431,1084.4159
432,1044.3657
433,1080.7696
434,1050.0386
435,1028.568
436,1042.0616
437,1049.4414
438,1080.3619
439,1019.2565
440,1050.2229
441,1050.4702
442,1021.8049
443,1017.9814
444,1079.9641
445,1031.3064
446,1069.088
447,1086.4001
448,1085.1999
449,1038.1733
450,992.1241
451,1082.9974
